Word,Description
Fishing,"The activity of catching fish, typically for sport or food."
Floral arrangement,The art of creating beautiful flower compositions or bouquets.
Football (Soccer),A team sport played with a spherical ball between two teams of eleven players.
Foraging,Gathering wild plants or fungi for food or medicinal purposes.
Frontend development,"Creating the user interface and experience of web applications using HTML, CSS, and JavaScript."
Functional programming,A programming paradigm that treats computation as the evaluation of mathematical functions and avoids changing state and mutable data.
Furniture restoration,Repairing and refurbishing old or damaged furniture to restore its original condition.
Game development,Creating video games for various platforms using programming languages and game engines.
Genealogy research,Tracing one's ancestry or family history through historical records.
GitHub,A platform for hosting and collaborating on code repositories using Git version control.
Glassblowing,The art of shaping molten glass by blowing air into it through a tube.
Gold panning,Searching for gold by manually sifting through gravel or sediment in rivers or streams.
Google Cloud Platform (GCP),"A suite of cloud computing services offered by Google, including computing, storage, databases, and machine learning."
Gradient boosting,Building additive models by combining weak learners to improve predictive accuracy.
GraphQL,A query language for APIs and a runtime for executing queries against data sources.
Graphic design,"The art of visual communication through the use of typography, photography, and illustration."
Guitar,"A musical instrument with strings, typically played by strumming or plucking.HTML/CSS,Markup and styling languages used for creating and designing web pages."
Hadoop,An open-source software framework for distributed storage and processing of large datasets on clusters of commodity hardware.
Hand-lettering,The art of drawing decorative letters by hand.
Handball,A team sport in which two teams of seven players each pass a ball using their hands with the aim of throwing it into the goal of the other team.
Herbalism,The study and practice of using plants for medicinal or therapeutic purposes.
Hierarchical clustering,Building a hierarchy of clusters by recursively merging or splitting clusters based on similarity.
Hiking,"The activity of walking for long distances, especially across country or in natural surroundings."
Horse training,"Training horses for riding, driving, or performing in equestrian competitions."
Horseback riding,"The activity or sport of riding a horse, typically with the aim of racing or jumping over obstacles."
Hot air ballooning,Flying in a large balloon filled with hot air for recreational or sport purposes.
Hybrid recommender systems,Combining collaborative and content-based filtering techniques to provide personalized recommendations.
Hydroponics,"Growing plants without soil, using nutrient-rich water solutions instead."
Hyperparameter tuning,Optimizing the parameters of machine learning algorithms to achieve the best performance.
Hypothesis testing,Testing statistical hypotheses to determine whether observed differences or relationships are statistically significant.
Ice skating,The act of moving on ice using ice skates.
Internet of Things (IoT),The network of interconnected devices and sensors that can communicate and exchange data over the internet.
Java,"A popular object-oriented programming language used for developing desktop, web, and mobile applications."
"JavaScript frameworks (e.g., React, Angular, Vue.js)",Libraries and frameworks for building dynamic and interactive user interfaces for web applications.
Juggling,The skill of keeping several objects in motion in the air by continuously tossing and catching them.
K-means clustering,Partitioning data into k clusters by minimizing the within-cluster sum of squares.
K-nearest neighbors (KNN),Building classifiers based on the similarity of feature vectors to k nearest neighbors in training data.
Karate,"A martial art developed in Japan that emphasizes striking techniques using the hands, feet, and other body parts."
Knitting,The craft or skill of creating fabric by interlocking loops of yarn with needles.
Kubernetes,"An open-source platform for automating deployment, scaling, and management of containerized applications."
Landscape photography,The art of capturing images of natural scenery.
Languages,"The ability to speak, understand, read, and write in multiple languages."
Languages (Foreign),"The ability to speak, understand, read, and write in languages other than one's native language."
Linear regression,Modeling the relationship between dependent and independent variables using a linear equation.
Logistic regression,Modeling the probability of a binary outcome using a logistic function.
Machine learning,A subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.
Machine learning algorithms,"Implementing algorithms and models for tasks like classification, regression, clustering, and recommendation."
Machine translation,Translating text from one language to another using machine learning techniques.
Magic tricks,The skill of performing illusions and sleight of hand to entertain an audience.
Makeup artistry,The skill of applying cosmetics to enhance or alter appearance.
Master data management (MDM),"Managing and maintaining a single, consistent view of master data entities across an organization."
Meditation,"The practice of training the mind to achieve a state of consciousness for relaxation, mindfulness, or spiritual purposes."
Microservices architecture,A software architecture pattern in which applications are composed of loosely coupled and independently deployable services.
Mobile app development,Creating applications for mobile devices such as smartphones and tablets.
Model deployment,Deploying trained machine learning models into production environments for real-world use.
Model evaluation and validation,"Assessing the performance and reliability of machine learning models using techniques like cross-validation and metrics like precision, recall, and F1 score."
Model monitoring and maintenance,Monitoring the performance of deployed machine learning models and updating them as needed to maintain accuracy and reliability.
Monte Carlo simulation,Generating random samples to approximate the behavior of complex systems or processes.
Mountain biking,"The sport of riding bicycles off-road, often over rough terrain."
Music production,"The process of creating, recording, mixing, and mastering music."
Naive Bayes,Building classifiers based on Bayes' theorem and the assumption of independence between features.
Named entity recognition (NER),"Identifying and classifying named entities like people, organizations, or locations in text."
Natural language processing (NLP),"The ability of computers to understand, interpret, and generate human language."
Natural language processing (NLP),Analyzing and generating human language data using computational techniques.
Natural language understanding (NLU),Extracting structured data from unstructured text using techniques like parsing and entity recognition.
Negotiation,The ability to reach agreements or compromises through discussion and compromise.
Network security,"Protecting networks and data from unauthorized access, misuse, or disruption."
Networking,The process of connecting computers and other devices to share resources and communicate with each other.
Neural networks,Building artificial neural networks with layers of interconnected nodes to solve complex problems.
NoSQL databases,Working with non-relational databases like MongoDB or Cassandra.
"NoSQL databases (e.g., MongoDB, Cassandra, Redis)",Databases that use non-relational data models and are optimized for specific use cases.
Node.js,A JavaScript runtime environment that allows developers to run JavaScript code outside of a web browser.
Normalization,"Organizing data in a database to minimize redundancy and dependency.OLAP (Online Analytical Processing),Analyzing multidimensional data interactively from multiple perspectives."
Object-oriented programming (OOP),"A programming paradigm based on the concept of objects, which can contain data and code."
Oil painting,"The technique of painting with pigments mixed with a drying oil, typically linseed oil."
"Operating systems (e.g., Linux, Windows, macOS)",Software that manages computer hardware and provides services for computer programs.
Origami,The Japanese art of folding paper into decorative shapes and figures.
Origami,The art of folding paper into various shapes and designs.
Painting,The skill of applying pigments to a surface to create artwork.
Parallel computing,Performing multiple computations simultaneously to improve performance and efficiency.
Parkour,"A physical discipline that involves moving quickly and efficiently through urban environments, often using acrobatic techniques."
Penetration testing,Assessing the security of computer systems and networks by simulating cyber attacks.
Performance tuning,"Optimizing database performance through query optimization, index tuning, and other techniques."
Phonetics,"Studying the sounds of human speech and their production, transmission, and reception."
Photography,The art or practice of creating images by recording light on a light-sensitive surface.
Piano,A musical instrument played by pressing keys to produce sounds.
Piano,A musical instrument with a keyboard used for playing melodies and harmonies.
Pottery,"The craft of making objects out of clay, typically by hand or on a potter's wheel."
Predictive analytics,Using statistical algorithms and machine learning techniques to predict future outcomes based on historical data.
Prescriptive analytics,Providing recommendations or actions based on analysis of data and business rules.
Principal component analysis (PCA),Finding the orthogonal axes that maximize variance in high-dimensional data.
Programming,"The process of writing instructions for computers to execute, often using programming languages."
Public speaking,The skill of delivering speeches or presentations effectively to an audience.
Public speaking,The ability to address an audience confidently and effectively.
Python,"A versatile and beginner-friendly programming language used for web development, data analysis, and automation."
Quilting,The craft of sewing together layers of fabric to create a padded material.
Quilting,The craft of sewing together layers of fabric to create a quilt.
Random forests,Building ensembles of decision trees to improve predictive accuracy and robustness.
React Native,A framework for building cross-platform mobile applications using React and JavaScript.
Real-time data processing,"Processing and analyzing data as soon as it is generated, often using streaming technologies like Apache Kafka or Apache Flink."
Reinforcement learning,Training machine learning models to make decisions through trial and error.
Responsive web design,Designing websites that adapt to different screen sizes and devices for optimal viewing and interaction.
Reverse engineering,Analyzing and understanding the structure and behavior of software systems to recreate or modify them.
Robotics,"Designing, building, and operating robots to perform tasks autonomously or with human assistance."
Rock climbing,"The sport or activity of climbing rock faces or walls, often using ropes and safety equipment."
Rock climbing,"The sport or activity of climbing rock faces, especially with the use of ropes and other equipment."
Ruby on Rails,A web application framework written in Ruby that follows the model-view-controller (MVC) pattern.
SQL,Structured Query Language used for managing and manipulating relational databases.
SQL database administration,Managing and maintaining relational databases using SQL.
SQL injection prevention,Protecting against SQL injection attacks by validating and sanitizing user input.
Scalability,The ability of a system to handle growing amounts of work or requests by adding resources or adapting its architecture.
Sculpting,"The art of shaping and carving materials such as clay, wood, or stone to create three-dimensional artwork."
Search engine optimization (SEO),Techniques for improving the visibility and ranking of websites in search engine results.
Security auditing,Assessing and evaluating database security controls to ensure compliance with policies and regulations.
Sentiment analysis,Analyzing text data to determine the sentiment or emotional tone expressed.
Serverless computing,A cloud computing model in which the cloud provider dynamically manages the allocation of resources and billing based on usage.
Singing,The act of producing musical sounds with the voice.
Singing,The act of producing musical sounds with the voice.
Singular value decomposition (SVD),Decomposing a matrix into singular vectors and values to reduce dimensionality.
Skateboarding,Riding and performing tricks on a skateboard.
Sketching,The act of making a rough drawing or outline.
Skydiving,The sport of jumping from an aircraft and performing acrobatic maneuvers during freefall.
Snorkeling,Swimming underwater while using a breathing tube and mask.
Snowboarding,The sport of descending snow-covered slopes on a snowboard.
Soccer,A team sport played with a spherical ball on a rectangular field.
Software architecture,The high-level structure of software systems and the principles and practices for designing and building them.
Software development,"The process of designing, creating, and maintaining software applications."
Software engineering,"The application of engineering principles and practices to the design, development, testing, and maintenance of software systems."
Software testing,Evaluating software to ensure that it meets specified requirements and functions correctly.
Speaker diarization,Identifying and distinguishing between different speakers in an audio recording.
Speech recognition,Converting spoken language into text using machine learning algorithms.
Speech synthesis,Generating artificial speech from text using machine learning models.
Spring Framework,An open-source framework for building Java-based enterprise applications.
Stargazing,"The act of observing celestial objects in the night sky, such as stars, planets, and galaxies."
Statistical analysis,Applying statistical techniques to analyze data and draw meaningful conclusions.
Stored procedures,Writing and executing precompiled SQL code stored in the database for improved performance and security.
Supervised learning,Training machine learning models using labeled data to make predictions or decisions.
Support vector machines (SVM),Building binary classifiers by finding the hyperplane that best separates classes in feature space.
Surfing,"Riding waves on a surfboard, typically in the ocean."
Survival analysis,Analyzing time-to-event data to model and predict survival probabilities over time.
Swift programming,"A programming language developed by Apple for building iOS, macOS, watchOS, and tvOS applications."
Swimming,The ability to move through water by propelling oneself with the limbs.
Swimming,The sport or activity of moving through water using one's arms and legs.
Systems design,"The process of defining the architecture, components, and interactions of a system to satisfy specified requirements."
Table tennis (Ping Pong),A sport in which two or four players hit a lightweight ball back and forth across a table using small paddles.
Tennis,A racket sport played individually against a single opponent or between two teams of two players each.
Tennis,A racket sport played on a rectangular court with a net in the middle.
Text mining,"Extracting useful information from unstructured text data, such as documents or social media posts."
Time management,The skill of effectively organizing and prioritizing tasks to maximize productivity.
Time series analysis,Analyzing and forecasting time-series data to understand patterns and make predictions.
Transactions,Ensuring data integrity and consistency by grouping SQL statements into atomic units of work.
Triggers,Defining actions to be automatically performed in response to certain database events.
UI/UX design,Designing the user interface and experience of digital products to optimize usability and satisfaction.
Unicycling,"Riding a unicycle, a single-wheeled vehicle."
Unsupervised learning,Training machine learning models on unlabeled data to discover patterns or structures.
Urban gardening,"The practice of growing plants in urban environments, often in limited space."
"Version control (e.g., Git, SVN)",Tracking and managing changes to source code and other files over time.
Video editing,The process of manipulating and rearranging video footage to create a final video product.
Video production,"The process of creating video content, including filming, editing, and post-production."
Views,Creating virtual tables based on the result of a SQL query for easier data retrieval and manipulation.
Violin,"A musical instrument with four strings, typically played with a bow."
Violin,A string instrument played with a bow.
Virtual reality development,Creating immersive digital experiences using virtual reality technology.
Virtualization,"Creating virtual versions of computing resources, such as servers or storage devices, to improve efficiency and flexibility."
Volunteering,Offering one's time and services for charitable or community work without payment.
Web application security,"Protecting web applications from security threats, vulnerabilities, and attacks."
Web development,The creation and maintenance of websites for the internet or an intranet.
Web development,Building and maintaining websites and web applications.
"Web development frameworks (e.g., Django, Flask, Ruby on Rails)",Libraries and frameworks for building web applications and APIs.
Welding,The process of joining metals together by heating and melting them.
Whittling,The craft of carving shapes out of wood using a knife.
Wine tasting,"The sensory evaluation of wine to discern its flavors, aromas, and characteristics."
Woodworking,"The skill of making objects, structures, or artworks from wood."
Woodworking,"The craft of making objects out of wood, such as furniture and cabinets."
Writing poetry,"The art of expressing thoughts, emotions, and ideas through verse."
Yoga,"A physical, mental, and spiritual practice that originated in ancient India."
Yoga,"A group of physical, mental, and spiritual practices that originated in ancient India."
Zumba,A fitness program that combines Latin and international music with dance moves.
Zumba,A fitness program that combines Latin and international music with dance movements.
